Quantity,Digi-Key Part Number,Description,Package,Manufacturer Name,Manufacturer Part Number,Part Numbers,Comments
1,FC4L64R025FERCT-ND,0.025 ohm 1% 2W Kelvin,SMT 2512,Ohmite,FC4L64R025FER,R4,
4,311-3.3KGRCT-ND,3.3K 5% 1/10W,SMT 0603,Yageo,RC0603JR-073K3L,R1  R2  R3  R8,Can merge part number with the 3.3K 1% above.
3,311-10KGRCT-ND,10k 5% 1/10W,SMT 0603,Yageo,RC0603JR-0710KL,R5  R6  R7,Generic part
2,311-1424-1-ND,20pF 50V 5%,SMT 0603,Yageo,CC0603JRNPO9BN200,C9  C10,Generic part
5,311-1344-1-ND,0.1uf 10% 25V,SMT 0603,Yageo,CC0603KRX7R9BB104,C3  C5  C6  C8 C11,Generic part. May need to reduce C7 if interferes with ICSP reset (e.g. to 0.01)
1,587-2400-1-ND,1uF 50V 10%,SMT 6030,Taiyo Uden,UMK107BJ105KA-T,C4,Generic part
2,399-3684-1-ND,10uF 10%  16V,SMT 1206,Kemet,T491A106K010AT,C12  C13,Generic part
1,CTX732CT-ND,16Mhz Crystal 20pf,4-SMD 3.20mm x 2.50mm,CTS-Frequency Control,403C11E16M00000,Q1,CTS 403 Series  20pF.
1,ATMEGA328P-AURCT-ND,ATMEGA328P,TQFP32,Atmel,ATMEGA328P-AUR,U3,Atmel AVR328P
1,768-1007-1-ND,FT232RL,SSOP28,FTDI,FT232RL-REEL,U2,
1,LTC2943CDD#PBF-ND,LTC2943,DFN8,Liner Technology,LTC2943CDD#PBF,U1,Adjustable LDO 3A.
1,TA48M04F(T6L1SNQ)CT-ND ,LDO 29V in 4V out,DPAK 2 + tab,Toshiba,"TA48M04F(T6L1,SNQ)",U4,Fixed LDO 4.0V. High input voltage
1,P12197S-ND,Push button,,Panasonic Electronic Components,EVQ-PAG09K,S1,Panasonic EVQ-PAG09K
2,S1011E-36-ND,"1 position  0.1""  straight",,Sullins Connector Solutions,PBC36SAAN,OLED mechanical support.,Generic part. Height above board should be at most 8.5mm. The part number here is for a 36 position breakable strip so it can be used for multiple boards.
1,H11611CT-ND,Micro USB 'reversed' connector,,Hirose Electric Co Ltd,ZX62RD-AB-5P8,J1,Hirose ZX62RD-AB-5P8.  Make sure it is a 'reversed' connector  otherwise the signals will be in reversed order.
2,WM1860-ND,PCB conn 2wire right angle,,Molex Inc,436500200,J2  J3,
2,WM1845-ND,Conn header 2 wire,,Molex Inc,436450200,,
4,WM2776CT-ND,Conn header contact female,,Molex Inc,430300003,,
4,335-1156-ND,M3x6mm  pan head  philips machine screw,,APM Hexseal,RM3X6MM 2701,,Top cover screws
4,335-1148-ND,M3x10mm  pan head  philips machine screw,,APM Hexseal,RM3X10MM 2701,,Bottom cover screws
4,952-1515-ND,M3x6mm  round  threaded  female/female metal standoff,,Harwin,R30-5000602,,Top cover standoff
4,952-1526-ND,M3x3mm round  non threaded nylon or metal spacer,,Harwin,R30-6700394,,Bottom cover spacer
1,N/A,"Heltec 1.3"" SPI 128X64 OLED WHITE monochrome display with RST pin.",,Heltec,,OLED,Must have SSD1306 controller and these 6 pins: GND  VCC  SCL  SDA  RST  D/C (picture here  http://i.imgur.com/y3cWazS.jpg).  Manufacturer is http://www.heltec.cn. Heltec also similar blue models (with sh1063 controller) and 'new' models with different 6 pins (VCC and GND swapped  no RST pin)  these two models are incompatible with the current POWER PLAY design.
1,N/A,PCB,,,,,Order the PCB from your favorite PCB manufacturer (2 layers  60x60mm).  Make sure to order a SMD stencil  preferably 5mil stainless steal but even a 5 mil stencil from oshstencils.com should work.
1,N/A,Top cover,,,,,"Laser cut fluorescent green 1/8"" acryilic."
1,N/A,Bottom Cover,,,,,"Laser cut fluorescent green 1/8"" acryilic."
